"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
0.05, -0.25, -0.1, 0, 0, 0, 0, 0, 0
0.23, -0.25, -0.1, 1, 0, 0, 0, 0, 0
0.41, -0.25, -0.1, 2, 0, 0, 0, 0, 0
0.59, -0.25, -0.1, 3, 0, 0, 0, 0, 0
0.77, -0.25, -0.1, 4, 0, 0, 0, 0, 0
0.95, -0.25, -0.1, 5, 0, 0, 0, 0, 0
0.05, -0.08333333333333334, -0.1, 0, 1, 0, 0, 0, 0
0.23, -0.08333333333333334, -0.1, 1, 1, 0, 0, 0, 0
0.41, -0.08333333333333334, -0.1, 2, 1, 0, 0, 0, 0
0.59, -0.08333333333333334, -0.1, 3, 1, 0, 0, 0, 0
0.77, -0.08333333333333334, -0.1, 4, 1, 0, 0, 0, 0
0.95, -0.08333333333333334, -0.1, 5, 1, 0, 0, 0, 0
0.05, 0.08333333333333331, -0.1, 0, 2, 0, 0, 0, 0
0.23, 0.08333333333333331, -0.1, 1, 2, 0, 0, 0, 0
0.41, 0.08333333333333331, -0.1, 2, 2, 0, 0, 0, 0
0.59, 0.08333333333333331, -0.1, 3, 2, 0, 0, 0, 0
0.77, 0.08333333333333331, -0.1, 4, 2, 0, 0, 0, 0
0.95, 0.08333333333333331, -0.1, 5, 2, 0, 0, 0, 0
0.05, 0.25, -0.1, 0, 3, 0, 0, 0, 0
0.23, 0.25, -0.1, 1, 3, 0, 0, 0, 0
0.41, 0.25, -0.1, 2, 3, 0, 0, 0, 0
0.59, 0.25, -0.1, 3, 3, 0, 0, 0, 0
0.77, 0.25, -0.1, 4, 3, 0, 0, 0, 0
0.95, 0.25, -0.1, 5, 3, 0, 0, 0, 0
0.05, -0.25, 0.5000000000000001, 0, 0, 1, 0, 0, 0
0.23, -0.25, 0.5000000000000001, 1, 0, 1, 0, 0, 0
0.41, -0.25, 0.5000000000000001, 2, 0, 1, 0, 0, 0
0.59, -0.25, 0.5000000000000001, 3, 0, 1, 0, 0, 0
0.77, -0.25, 0.5000000000000001, 4, 0, 1, 0, 0, 0
0.95, -0.25, 0.5000000000000001, 5, 0, 1, 0, 0, 0
0.05, -0.08333333333333334, 0.5000000000000001, 0, 1, 1, 0, 0, 0
0.23, -0.08333333333333334, 0.5000000000000001, 1, 1, 1, 0, 0, 0
0.3412732566705993, 0.289177087554719, 0.5000000000000001, 2, 1, 1, 1, 1, 0
0.6736738788027389, -0.07591173116146642, 0.5000000000000001, 3, 1, 1, 1, 1, 0
0.77, -0.08333333333333334, 0.5000000000000001, 4, 1, 1, 0, 0, 0
0.95, -0.08333333333333334, 0.5000000000000001, 5, 1, 1, 0, 0, 0
0.05, 0.08333333333333331, 0.5000000000000001, 0, 2, 1, 0, 0, 0
0.23, 0.08333333333333331, 0.5000000000000001, 1, 2, 1, 0, 0, 0
0.3061298397190357, 0.2447346422787615, 0.5000000000000001, 2, 2, 1, 1, 1, 0
0.6475564198713546, 0.3137732088468813, 0.5000000000000001, 3, 2, 1, 1, 1, 0
0.77, 0.08333333333333331, 0.5000000000000001, 4, 2, 1, 0, 0, 0
0.95, 0.08333333333333331, 0.5000000000000001, 5, 2, 1, 0, 0, 0
0.05, 0.25, 0.5000000000000001, 0, 3, 1, 0, 0, 0
0.23, 0.25, 0.5000000000000001, 1, 3, 1, 0, 0, 0
0.41, 0.25, 0.5000000000000001, 2, 3, 1, 0, 0, 0
0.59, 0.25, 0.5000000000000001, 3, 3, 1, 0, 0, 0
0.77, 0.25, 0.5000000000000001, 4, 3, 1, 0, 0, 0
0.95, 0.25, 0.5000000000000001, 5, 3, 1, 0, 0, 0
0.05, -0.25, 1.1, 0, 0, 2, 0, 0, 0
0.23, -0.25, 1.1, 1, 0, 2, 0, 0, 0
0.41, -0.25, 1.1, 2, 0, 2, 0, 0, 0
0.59, -0.25, 1.1, 3, 0, 2, 0, 0, 0
0.77, -0.25, 1.1, 4, 0, 2, 0, 0, 0
0.95, -0.25, 1.1, 5, 0, 2, 0, 0, 0
0.05, -0.08333333333333334, 1.1, 0, 1, 2, 0, 0, 0
0.23, -0.08333333333333334, 1.1, 1, 1, 2, 0, 0, 0
0.41, -0.08333333333333334, 1.1, 2, 1, 2, 0, 0, 0
0.59, -0.08333333333333334, 1.1, 3, 1, 2, 0, 0, 0
0.77, -0.08333333333333334, 1.1, 4, 1, 2, 0, 0, 0
0.95, -0.08333333333333334, 1.1, 5, 1, 2, 0, 0, 0
0.05, 0.08333333333333331, 1.1, 0, 2, 2, 0, 0, 0
0.23, 0.08333333333333331, 1.1, 1, 2, 2, 0, 0, 0
0.41, 0.08333333333333331, 1.1, 2, 2, 2, 0, 0, 0
0.59, 0.08333333333333331, 1.1, 3, 2, 2, 0, 0, 0
0.77, 0.08333333333333331, 1.1, 4, 2, 2, 0, 0, 0
0.95, 0.08333333333333331, 1.1, 5, 2, 2, 0, 0, 0
0.05, 0.25, 1.1, 0, 3, 2, 0, 0, 0
0.23, 0.25, 1.1, 1, 3, 2, 0, 0, 0
0.41, 0.25, 1.1, 2, 3, 2, 0, 0, 0
0.59, 0.25, 1.1, 3, 3, 2, 0, 0, 0
0.77, 0.25, 1.1, 4, 3, 2, 0, 0, 0
0.95, 0.25, 1.1, 5, 3, 2, 0, 0, 0
